"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 04일","3,958.5029","3,837.0459","3,974.2603","3,837.0391","-","3.17%"
"2022년 05월 03일","3,837.0591","3,903.1838","3,929.5400","3,828.2744","-","-1.69%"
"2022년 05월 02일","3,903.0850","3,880.4614","3,912.5996","3,795.6445","-","0.52%"
"2022년 04월 29일","3,882.9910","3,884.7021","3,947.7131","3,874.5657","-","-0.04%"
"2022년 04월 28일","3,884.4270","3,844.6047","3,891.7925","3,809.6189","-","1.03%"
"2022년 04월 27일","3,844.8201","3,809.0352","3,854.7424","3,783.8010","-","0.99%"
"2022년 04월 26일","3,807.1841","3,730.0420","3,829.9492","3,725.8269","-","2.08%"
"2022년 04월 25일","3,729.6399","3,822.1206","3,822.1206","3,662.1125","-","-2.42%"
"2022년 04월 22일","3,822.0459","3,873.1755","3,886.7224","3,811.1350","-","-1.32%"
"2022년 04월 21일","3,873.0830","3,852.9932","3,904.7917","3,842.6504","-","0.52%"
"2022년 04월 20일","3,852.9009","3,846.8989","3,890.2473","3,802.4644","-","0.16%"
"2022년 04월 19일","3,846.8069","3,981.8037","4,001.1118","3,832.4375","-","-3.40%"
"2022년 04월 18일","3,982.1350","3,933.5222","4,022.3594","3,925.4856","-","1.50%"
"2022년 04월 14일","3,923.4021","3,852.7163","3,933.6294","3,826.2922","-","1.83%"
"2022년 04월 13일","3,852.8110","3,760.0132","3,856.9431","3,746.6641","-","2.46%"
"2022년 04월 12일","3,760.3091","3,617.6089","3,778.9272","3,617.6089","-","3.95%"
"2022년 04월 11일","3,617.5300","3,679.6045","3,679.8240","3,584.5139","-","-1.79%"
"2022년 04월 08일","3,683.3711","3,621.5205","3,691.2239","3,610.6716","-","1.71%"
"2022년 04월 07일","3,621.4529","3,640.3699","3,684.7568","3,580.0479","-","-0.52%"
"2022년 04월 06일","3,640.3020","3,748.3943","3,791.1443","3,634.3496","-","-2.89%"
"2022년 04월 05일","3,748.4780","3,762.9402","3,813.1238","3,738.7129","-","-0.38%"
"2022년 04월 04일","3,762.8701","3,673.1274","3,780.7534","3,666.6868","-","2.29%"
"2022년 04월 01일","3,678.7410","3,693.9392","3,718.1548","3,637.1780","-","-0.41%"
"2022년 03월 31일","3,693.8770","3,826.8518","3,828.6118","3,683.0027","-","-3.56%"
"2022년 03월 30일","3,830.1841","3,755.1770","3,856.4956","3,739.5552","-","2.61%"
"2022년 03월 29일","3,732.6169","3,806.9460","3,838.9741","3,616.0288","-","-1.98%"
"2022년 03월 28일","3,808.1780","3,963.2104","3,963.2104","3,786.0891","-","-4.47%"
"2022년 03월 25일","3,986.3279","3,945.0056","3,988.4990","3,877.9199","-","0.88%"
"2022년 03월 24일","3,951.4141","3,990.3091","4,027.8474","3,920.4243","-","-1.03%"
"2022년 03월 23일","3,992.6580","3,850.5913","3,998.6860","3,827.4778","-","3.69%"
"2022년 03월 22일","3,850.5400","3,855.8943","3,932.0015","3,792.3484","-","-0.13%"
"2022년 03월 21일","3,855.3640","3,700.5889","3,868.0349","3,700.5889","-","4.19%"
"2022년 03월 18일","3,700.4500","3,687.9211","3,742.6560","3,656.8601","-","0.34%"
"2022년 03월 17일","3,687.8750","3,490.3677","3,699.3347","3,490.3677","-","5.66%"
"2022년 03월 16일","3,490.3240","3,534.1392","3,605.2744","3,477.5547","-","-1.24%"
"2022년 03월 15일","3,534.0950","3,651.8259","3,651.8259","3,463.8123","-","-3.22%"
"2022년 03월 14일","3,651.7881","3,765.6816","3,765.6816","3,607.1450","-","-3.34%"
"2022년 03월 11일","3,777.8049","3,710.4163","3,799.2471","3,648.3662","-","2.13%"
"2022년 03월 10일","3,698.8621","3,798.1028","3,902.5537","3,694.9390","-","-2.16%"
